,gt_label
0,drone attacks in Pakistan
1,2015 Russian air raids in Syria
2,2015 Canadian federal election
3,November 2015 Paris attacks
4,Hurricane Sandy
5,Space Shuttle Columbia disaster
6,2012 Summer Olympics
7,Metrojet Flight 9268
8,2015 Bamako hotel attack
9,Hurricane Katrina
10,Israeli–Palestinian conflict
11,Boston Marathon bombings
12,"Barack Obama presidential campaign, 2008"
13,United States invasion of Afghanistan
14,September 11 attacks
15,April 2015 Nepal earthquake
16,2004 Boston Red Sox season
17,Yemeni Civil War (2015–present)
18,European migrant crisis
19,Donald Trump 2016 presidential campaign
20,Arab Spring
